message_text,scam_type,manipulation_type,keywords,scam_score,label,source_channel,language,target_audience,attack_vector,scam_stage,scam_intent
Your PhonePe delivery arriving today between 18:30 PM. Track: 495983735,legitimate_message,none,none,0.3,legitimate,SMS,english,online_shoppers,none,none,none
WARNING: .. 38 .. malware .. detected. .. Install .. suraksha .. patch: .. https://short.link/z3861,tech_support_scam,urgency,"security,malware",0.68,scam,WhatsApp,english,general,malware_link,initial_contact,spread_malware
Hi! Thanks for contacting Google Pay support. Your ticket number: 453532928,legitimate_message,none,none,0.03,legitimate,SMS,english,general,none,none,none
Package delivery on hold. Verify shipping address: https://rb.gy/p1850 💰,parcel_delivery_scam,curiosity,"delivery,package",0.71,scam,WhatsApp,english,online_shoppers,phishing_link,information_theft,steal_information
Google hiring for data entry - Rs.50000/month. Registration: https://cutt.ly/r1425,job_scam,reward,hiring,0.59,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Your OTP for Facebook login is 195951. Valid for 10 minutes. Do not share.,legitimate_message,none,OTP,0.23,legitimate,SMS,english,general,none,none,none
URGENT: .. Airtel .. hiring .. for .. home-based .. kaams. .. No .. experience .. needed: .. https://short.link/i5553 .. ✅,job_scam,urgency,"job,hiring",0.79,scam,WhatsApp,english,job_seekers,phishing_link,initial_contact,steal_information
Double payment detected. Refund Rs.1000 initiated. Confirm: https://bit.ly/d5931,refund_scam,"urgency,reward,social_engineering",refund,0.77,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
You .. are .. selected .. winner .. of .. TCS .. lucky .. draw .. - .. Rs.500000! .. Call .. +91-7908622253,lottery_scam,"reward,curiosity","winner,lucky draw",0.88,scam,WhatsApp,english,general,information_theft,trust_building,financial_fraud
Your flight booking confirmed. PNR: 861360112. Journey: 10/1/2024,legitimate_message,none,confirmed,0.27,legitimate,SMS,english,general,none,none,none
Your Flipkart parcel is held at customs. Pay Rs.10000 duty: https://bit.ly/w5630,parcel_delivery_scam,urgency,"parcel,customs,duty,held",0.56,scam,SMS,english,online_shoppers,payment_request,payment_request,financial_fraud
REFUND .. ALERT: .. Rs.2500 .. from .. Amazon .. ready. .. Verify .. akount: .. https://short.link/b1285 .. ❌,refund_scam,"urgency,reward,curiosity",refund,0.67,scam,WhatsApp,english,online_shoppers,phishing_link,information_theft,steal_information
IMPORTANT: IDBI account frozen due to KYC non-compliance. Update turant: https://rb.gy/m8726,bank_kyc_scam,"urgency,fear,authority","KYC,update,account",0.91,scam,SMS,english,general,impersonation,initial_contact,identity_theft
You are eligible for Rs.1000 refund from Amazon. Claim: https://ow.ly/q6704 ⏰,refund_scam,"urgency,reward","refund,eligible,claim",0.87,scam,WhatsApp,english,online_shoppers,phishing_link,initial_contact,steal_information
Courier delivery failed 3 times. Final attempt - update details: https://bit.ly/u4297,parcel_delivery_scam,"urgency,curiosity","delivery,courier",0.82,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
India Post: Your package AWB690451183 held. Clear customs fee: https://cutt.ly/u3641,parcel_delivery_scam,urgency,"customs,package,held",0.73,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
UIDAI ALERT: Aadhaar deactivated. Re-verify ke andar 48 ghanta: https://rb.gy/a6404,government_impersonation,"fear,authority,curiosity","Aadhaar,UIDAI",0.87,scam,SMS,english,general,impersonation,information_theft,identity_theft
Electricity .. bill .. refund .. Rs.1000 .. pending. .. Submit .. bank .. details: .. https://bit.ly/e6115,refund_scam,"authority,reward,curiosity","refund,bank details,pending",0.75,scam,WhatsApp,english,online_shoppers,phishing_link,initial_contact,steal_information
WhatsApp investment group - Rs.10000 to Rs.250000 in 1 month garanti,investment_scam,urgency,"invest,guaranteed",0.82,scam,SMS,english,investors,information_theft,initial_contact,financial_fraud
HDFC ALERT: Your account requires KYC updat Apdate now at https://short.link/w8847 or face penalties,bank_kyc_scam,"urgency,authority","KYC,update,account",0.78,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Part-time job alert! Earn Rs.100000 daily from mobile. Join: https://bit.ly/c9772,job_scam,reward,"job,earn",0.69,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
CONGRATULATIONS! You won Rs.5000 in KBC lottery. Claim: https://tinyurl.com/p5182,lottery_scam,reward,"lottery,congratulations,won,claim",0.88,scam,SMS,english,general,phishing_link,trust_building,steal_information
Congratulations! Rs.100000 cashback approved. Claim now: https://rb.gy/d6246,upi_payment_scam,"urgency,reward","cashback,Rs",0.67,scam,SMS,english,general,payment_request,trust_building,financial_fraud
REFUND ALERT: Rs.2500 from Flipkart ready. Verify account: https://short.link/n3672,refund_scam,"reward,curiosity",refund,0.66,scam,SMS,english,online_shoppers,phishing_link,information_theft,steal_information
Your SBI KYC is expired. Update within 48hrs to continue services: https://tinyurl.com/k3792,bank_kyc_scam,"urgency,authority","KYC,update",0.92,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Sir 419599 apka verification code hai is OTP ko share karke account verify kare,otp_scam,"urgency,social_engineering,curiosity","OTP,verification",0.83,scam,WhatsApp,hinglish,general,otp_request,account_takeover,account_takeover
URGENT: Aapki PNB KYC verification pending hai abhi complete kijiye: https://bit.ly/p1804,bank_kyc_scam,urgency,"KYC,update,account",0.75,scam,SMS,hinglish,general,impersonation,initial_contact,identity_theft
Your Paytm order is stuck at port. Pay import duty Rs.1000: https://tinyurl.com/i9972,parcel_delivery_scam,curiosity,duty,0.74,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
COURIER DELIVRY FAILED 3 TIMES. FINAL ATTEMPT - UPDATE KIJIYE DETAILS: HTTPS://TINYURL.COM/H4627,parcel_delivery_scam,"urgency,curiosity","delivery,courier",0.76,scam,SMS,english,online_shoppers,information_theft,initial_contact,financial_fraud
Parcel delivery failed. Reschedule by paying Rs.25000 charges: https://short.link/h2296,parcel_delivery_scam,urgency,"parcel,delivery",0.56,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
"Dear customer, your PNB account credited with Rs.5000 on 27/9/2024",legitimate_message,none,none,0.13,legitimate,Email,english,general,none,none,none
REFUND ALERT: Rs.10000 credited. Verify payment link: https://short.link/a3484,upi_payment_scam,"reward,curiosity","payment,refund,credited,Rs",0.64,scam,SMS,english,general,payment_request,payment_request,financial_fraud
Hi! Thanks for contacting Airtel support. Your ticket number: 808188409,legitimate_message,none,none,0.11,legitimate,SMS,english,general,none,none,none
URGENT HIRING: Amazon needs 500 employees. Apply now: https://ow.ly/e4912,job_scam,"urgency,reward",hiring,0.67,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Your phone will be locked in 24 hours due to virus. Fix now: https://bit.ly/k5548,tech_support_scam,"urgency,fear",virus,0.77,scam,SMS,english,general,malware_link,initial_contact,spread_malware
"OTP for Rs.500 payment: 851903. To cancel, share this OTP with us on +91-8594119662",otp_scam,social_engineering,"OTP,share",0.87,scam,SMS,english,general,otp_request,account_takeover,account_takeover
REFUND ALERT: Rs.10000 credited. Virify paise link: https://rb.gy/t4964,upi_payment_scam,"urgency,reward","payment,refund,credited,Rs",0.72,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
Cryptocurrency nivesh - Rs.50000 daily munafa. Limited slots: https://cutt.ly/j6210,investment_scam,reward,"invest,profit",0.76,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
"Work 2 hours daily, earn Rs.25000 monthly. Training provided: https://tinyurl.com/c5450",job_scam,"urgency,reward",earn,0.58,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
WhatsApp job opportunity - Rs.50000/day. Limited seats: https://tinyurl.com/m5735,job_scam,urgency,job,0.73,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Your IDBI KYC is expiry. Updat ke andar 48hrs to continue services: https://short.link/f8546,bank_kyc_scam,fear,"KYC,update",0.84,scam,SMS,english,general,impersonation,initial_contact,identity_theft
CONGRATULATIONS!! You won Rs.1000 in KBC lottery. Claim: https://tinyurl.com/w2329,lottery_scam,reward,"lottery,congratulations,won,claim",0.65,scam,SMS,english,general,phishing_link,trust_building,steal_information
Hi! Thanks for contacting Paytm support. Your ticket number: 581847734,legitimate_message,none,none,0.29,legitimate,SMS,english,general,none,none,none
Thank you for shopping with Jio. Order 745442430 confirmed.,legitimate_message,none,"confirmed,thank you",0.07,legitimate,SMS,english,online_shoppers,none,none,none
URGENT: Complete your Canara KYC verification to avoid account suspension. Click: https://bit.ly/v1132,bank_kyc_scam,"urgency,curiosity","KYC,urgent,account",0.84,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Thank you for shopping with Jio. Order 102182925 confirmed.,legitimate_message,none,"confirmed,thank you",0.04,legitimate,SMS,english,online_shoppers,none,none,none
Your OTP for Amazon login is 399021. Valid for 10 minutes. Do not share.,legitimate_message,none,OTP,0.2,legitimate,SMS,english,online_shoppers,none,none,none
"Train ticket booked: PNR 165434506, Journey date: 12/1/2024",legitimate_message,none,booked,0.29,legitimate,SMS,english,general,none,none,none
Your OTP is 671801. DO NOT share with anyone. Valid for 10 minutes.,otp_scam,"urgency,social_engineering","OTP,share",0.76,scam,SMS,english,general,otp_request,account_takeover,account_takeover
Double payment detected. Refund Rs.25000 initiated. Confirm: https://ow.ly/w3811,refund_scam,"reward,social_engineering",refund,0.66,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
India Post: Your package AWB226701648 held. Clear customs fee: https://cutt.ly/p3899,parcel_delivery_scam,urgency,"customs,package,held",0.82,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
*Earn Rs.50000 by liking YouTube videos. No investment needed: https://cutt.ly/h4300*,job_scam,"urgency,reward",earn,0.78,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
ACTION REQUIRED: IndusInd KYC update mandatory. Click https://bit.ly/k9240 to avoid Rs.500 penalty,bank_kyc_scam,"urgency,fear,curiosity","KYC,update",0.83,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Your Amazon order 216496747 has been shipped and will arrive by 1/10/2024,legitimate_message,none,none,0.25,legitimate,SMS,english,online_shoppers,none,none,none
Join our trading group. Make Rs.500000 daily from home: https://cutt.ly/g2924,investment_scam,reward,trading,0.72,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
Confirm OTP 566568 2 s2p unauthorized transaction of Rs.5000 ✅,otp_scam,"urgency,fear,social_engineering",OTP,0.78,scam,WhatsApp,english,general,otp_request,account_takeover,account_takeover
Work from home - earn Rs.5000/month. Simple data entry. Register: https://rb.gy/b9351 ‼️,job_scam,"urgency,reward","work from home,earn",0.55,scam,WhatsApp,english,job_seekers,phishing_link,initial_contact,steal_information
"Last day! Invest Rs.100000 today, get Rs.50000 tomorrow: https://tinyurl.com/o1678",investment_scam,urgency,invest,0.79,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
"Work 2 hours daily, earn Rs.5000 monthly. Training provided: https://cutt.ly/x5447",job_scam,"urgency,reward",earn,0.67,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Your Gmail password changed by someone. Reset here: https://bit.ly/n5039,tech_support_scam,fear,none,0.73,scam,SMS,english,general,impersonation,initial_contact,steal_information
Your OTP for Hotstar login is 553387. Valid for 10 minutes. Do not share.,legitimate_message,none,OTP,0.29,legitimate,SMS,english,general,none,none,none
Google hiring for data entry - Rs.10000/month. Registration: https://cutt.ly/e1757,job_scam,urgency,hiring,0.79,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Sar apka number select hua TCS lucky draw me Rs.2500 call kr {phone},lottery_scam,curiosity,"lottery,congratulations,won,claim",0.71,scam,WhatsApp,hinglish,general,information_theft,initial_contact,financial_fraud
Your appointment with Dr. Reddy confirmed for 10/5/2024 at 17:30 PM,legitimate_message,none,confirmed,0.3,legitimate,SMS,english,general,none,none,none
Hi! Thanks for contacting Airtel support. Your ticket number: 245167300,legitimate_message,none,none,0.19,legitimate,SMS,english,general,none,none,none
Income Tax Dept: You have baaki hai vapasi of Rs.10000. Claim: https://bit.ly/h2997,government_impersonation,authority,Income Tax,0.93,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Work from home - earn Rs.1000/month. Simple data entry. ragister: https://rb.gy/v2290,job_scam,"urgency,reward","work from home,earn",0.59,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Stock market expert tips - 1000% returns guaranteed. Subscribe: https://short.link/y2157,investment_scam,reward,"returns,guaranteed",0.8,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
Govt. of India: You are eligible for PM subsidy Rs.5000. Apply: https://tinyurl.com/h8722,government_impersonation,authority,Govt,0.84,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Your appointment with Dr. Patel confirmed for 20/6/2024 at 15:00 PM,legitimate_message,none,confirmed,0.11,legitimate,SMS,english,general,none,none,none
WARNING: 10 malware detected. Install security patch: https://short.link/a9279 🎉,tech_support_scam,urgency,"security,malware",0.79,scam,WhatsApp,english,general,malware_link,initial_contact,spread_malware
UPI MANDATE: Accept recurring payment of Rs.25000/month: https://cutt.ly/z5490,upi_payment_scam,reward,"UPI,payment,Rs,accept",0.6,scam,SMS,english,general,payment_request,payment_request,financial_fraud
Dear customr 940415 is aapka OTP. Please share to verify kare your identity - SBI Support,otp_scam,"social_engineering,curiosity","OTP,share,verify",0.87,scam,WhatsApp,hinglish,general,otp_request,account_takeover,account_takeover
Google hiring for data entry - Rs.5000/month. Registration: https://tinyurl.com/l9560 ✅,job_scam,reward,hiring,0.63,scam,WhatsApp,english,job_seekers,phishing_link,initial_contact,steal_information
CASHBACK of Rs.2500 waiting. Claim via UPI: https://cutt.ly/c4851,upi_payment_scam,reward,"UPI,cashback,Rs",0.75,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
Govt. of India: You are eligible for PM subsidy Rs.500000. Apply: https://bit.ly/i7560,government_impersonation,fear,Govt,0.87,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Amazon delivery pending. Update address to receive parcel: https://short.link/b3790,parcel_delivery_scam,curiosity,"parcel,delivery",0.64,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
Receive Rs.1000 reward by accepting payment request: https://cutt.ly/b4890,upi_payment_scam,reward,"payment,Rs,accept",0.56,scam,SMS,english,general,payment_request,payment_request,financial_fraud
"Dear Sir/Madam, As per RBI guidelines, update your HDFC KYC details: https://ow.ly/z4727",bank_kyc_scam,"authority,curiosity","KYC,update,RBI",0.91,scam,Email,english,elderly,impersonation,initial_contact,identity_theft
URGENT: Complete your IDBI KYC verification to avoid acount suspension. Click: https://cutt.ly/h8288,bank_kyc_scam,"urgency,authority,curiosity","KYC,urgent,account",0.92,scam,SMS,english,general,impersonation,initial_contact,identity_theft
218749 is apki verification code for Amazon. Never shr this OTP.,otp_scam,"urgency,social_engineering","OTP,verification,share,code",0.77,scam,SMS,english,online_shoppers,otp_request,account_takeover,account_takeover
WhatsApp investment group - Rs.1000 to Rs.1000000 in 1 month guaranteed,investment_scam,urgency,"invest,guaranteed",0.71,scam,SMS,english,investors,information_theft,initial_contact,financial_fraud
Your Google Pay order is stuck at port. Pay import duty Rs.100000: https://cutt.ly/y7050 ‼️,parcel_delivery_scam,urgency,duty,0.7,scam,WhatsApp,english,online_shoppers,phishing_link,payment_request,steal_information
LUCKY DRAW WINNER! Rs.500000 depositing in 24hrs. Confirm details: https://cutt.ly/w9667,lottery_scam,"reward,social_engineering,curiosity","winner,lucky draw",0.65,scam,SMS,english,general,phishing_link,payment_request,steal_information
CASHBACK of Rs.5000 waiting. Claim via UPI: https://rb.gy/c4640,upi_payment_scam,reward,"UPI,cashback,Rs",0.65,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
Your Paytm order is stuck at port. Pay import duty Rs.500000: https://short.link/x3139,parcel_delivery_scam,urgency,duty,0.77,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
Courier delivery failed 3 times. Final attempt - update details: https://short.link/s6017,parcel_delivery_scam,"urgency,curiosity","delivery,courier",0.59,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
Your electricity bill for Rs.100000 is due by 12/9/2024. Pay online.,legitimate_message,none,none,0.13,legitimate,SMS,english,general,none,none,none
Your Flipkart package is held at customs. Pay Rs.10000 duty: https://tinyurl.com/z7132,parcel_delivery_scam,curiosity,"parcel,customs,duty,held",0.6,scam,SMS,english,online_shoppers,payment_request,payment_request,financial_fraud
"OTP 511884 for transaction of Rs.100000. If not requested, call +91-7508775909 💰",otp_scam,"urgency,fear",OTP,0.95,scam,WhatsApp,english,general,otp_request,account_takeover,account_takeover
"OTP 716923 for transaction of Rs.50000. If not requested, call +91-7855284497",otp_scam,"urgency,fear",OTP,0.76,scam,SMS,english,general,otp_request,account_takeover,account_takeover
Welcome to Gmail! Your registration is complete.,legitimate_message,none,none,0.01,legitimate,SMS,english,general,none,none,none
Invest Rs.2500 get Rs.1000000 in 30 days! 100% guaranteed returns: https://cutt.ly/f3162,investment_scam,urgency,"invest,returns,guaranteed",0.87,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
UIDAI ALERT: Aadhaar deactivated. Re-verify within 48 hours: https://tinyurl.com/t7613,government_impersonation,"urgency,fear,authority","Aadhaar,UIDAI",0.92,scam,SMS,english,general,impersonation,information_theft,identity_theft
Rs.50000 pending in your Paytm wallet. Complete verification: https://bit.ly/f7863,upi_payment_scam,urgency,"Rs,wallet",0.72,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
Welcome to Hotstar! Your registration is complete.,legitimate_message,none,none,0.13,legitimate,SMS,english,general,none,none,none
PAN Card blocked by Income Tax Dept. Reactivate: https://short.link/c9135,government_impersonation,"urgency,fear,authority","Income Tax,PAN",0.8,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Stock market expert tips - 1000% returns guaranteed. Subscribe: https://cutt.ly/l1710,investment_scam,reward,"returns,guaranteed",0.73,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
You are selected winner of Flipkart lucky draw - Rs.50000! Call +91-9517455596,lottery_scam,reward,"winner,lucky draw",0.81,scam,SMS,english,online_shoppers,information_theft,trust_building,financial_fraud
Income Tax notice for Rs..25000 unpaid tax.. Pay immediately: https://cutt..ly/f9117,government_impersonation,"urgency,fear,authority",Income Tax,0.77,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Your Amazon subscription refund Rs.1000 pending. Process: https://rb.gy/s1672,refund_scam,reward,"refund,pending",0.86,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
Police Cyber Cell: Your number used in crime. Respond urgently: +91-8883211302,government_impersonation,"urgency,fear,authority",Police,0.89,scam,SMS,english,general,impersonation,initial_contact,identity_theft
WARNING: .. 8 .. malware .. detected. .. Install .. security .. patch: .. https://ow.ly/r1162,tech_support_scam,urgency,"security,malware",0.83,scam,WhatsApp,english,general,malware_link,initial_contact,spread_malware
Part-time job alert! Earn Rs.2500 daily from mobile. Join: https://short.link/h7329,job_scam,"urgency,reward","job,earn",0.58,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
URGENT: Bitcoin trading opportunity. 400% munafa assured. Invest now: https://bit.ly/c5412 ⚠️,investment_scam,urgency,"invest,profit,trading,Bitcoin",0.8,scam,WhatsApp,english,investors,phishing_link,initial_contact,steal_information
DTDC: Your parcel needs Rs.500000 handling charge. Pay here: https://short.link/i8899,parcel_delivery_scam,urgency,parcel,0.74,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
Package delivery on hold. Verify shipping address: https://cutt.ly/z9917,parcel_delivery_scam,"urgency,curiosity","delivery,package",0.65,scam,SMS,english,online_shoppers,phishing_link,information_theft,steal_information
You are selected for Airtel vacancy. Pay Rs.500 registration fee: https://ow.ly/g8645,job_scam,"urgency,reward","registration fee,vacancy",0.75,scam,SMS,english,job_seekers,payment_request,payment_request,financial_fraud
Double payment detected. Refund Rs.25000 initiated. Confirm: https://short.link/x7483,refund_scam,"reward,social_engineering",refund,0.69,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
WhatsApp investment group - Rs.500000 to Rs.50000 in 1 month guaranteed,investment_scam,urgency,"invest,guaranteed",0.72,scam,SMS,english,investors,information_theft,initial_contact,financial_fraud
You are selected winner of Paytm lucky draw - Rs.25000! Call +91-9187393889,lottery_scam,"reward,curiosity","winner,lucky draw",0.66,scam,SMS,english,general,information_theft,trust_building,financial_fraud
UPI MANDATE: Accept recurring payment of Rs.100000/month: https://tinyurl.com/b4981,upi_payment_scam,reward,"UPI,payment,Rs,accept",0.56,scam,SMS,english,general,payment_request,payment_request,financial_fraud
Cryptocurrency investment - Rs.50000 daily profit. Limited slots: https://tinyurl.com/v3297,investment_scam,reward,"invest,profit",0.73,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
WhatsApp lottery winner! Rs.1000 prize. verify kare on https://rb.gy/p8871,lottery_scam,"reward,curiosity","winner,lottery,prize",0.76,scam,SMS,english,general,phishing_link,information_theft,steal_information
You won Rs.2500 in TCS lucky draw. Receive via UPI: https://ow.ly/w5672,upi_payment_scam,reward,"UPI,Rs",0.78,scam,SMS,english,general,payment_request,trust_building,financial_fraud
Congratulations! Selected for online job Rs.1000/month. Deposit Rs.1000 security,job_scam,reward,job,0.68,scam,SMS,english,job_seekers,information_theft,payment_request,financial_fraud
Your Netflix subscription renewed successfully. Amount: Rs.1000,legitimate_message,none,none,0.19,legitimate,SMS,english,general,none,none,none
ALERT: Rs.25000 debited from tumhara akount. Dispute paisa: https://rb.gy/z9678,upi_payment_scam,urgency,"payment,Rs",0.56,scam,SMS,english,general,payment_request,initial_contact,financial_fraud
Your PhonePe limit increased to Rs.2500. Activate now: https://tinyurl.com/w8141 ⚠️,upi_payment_scam,"urgency,reward",Rs,0.71,scam,WhatsApp,english,general,payment_request,initial_contact,financial_fraud
Govt. of India lottery winner! You won Rs.2500 lakhs. Registration: https://tinyurl.com/o4517 ❌,lottery_scam,reward,"winner,lottery,won",0.77,scam,WhatsApp,english,general,phishing_link,trust_building,steal_information
Your Flipkart subscription renewed successfully. Amount: Rs.25000,legitimate_message,none,none,0.23,legitimate,SMS,english,online_shoppers,none,none,none
Income Tax notice for Rs.10000 unpaid tax. Pay immediately: https://tinyurl.com/x7919,government_impersonation,"urgency,authority",Income Tax,0.82,scam,SMS,english,general,impersonation,initial_contact,identity_theft
